case_name,topology,command_peak_V,command_peak_kV,limited_command_peak_kV,raw_peak_kV,fundamental_peak_V,fundamental_peak_kV,tracking_error_percent,rms_kV,thd_percent,cap_reference_kV,cap_mean_kV,cap_mean_start_kV,cap_mean_end_kV,cap_endpoint_error_percent,cap_min_kV,cap_max_kV,cap_ripple_pp_max_V,cap_max_deviation_V,within_arm_spread_max_V,cap_mean_slope_V_per_s,cap_mean_slope_percent_per_s,arm_current_peak_A,circulating_current_peak_A,circulating_current_mean_A,dc_current_mean_A,dc_power_mean_MW,ac_power_mean_MW,stored_energy_drift_MW,arm_resistor_loss_MW,power_balance_raw_error_percent,power_balance_residual_percent,actual_arm_voltage_min_kV,actual_arm_voltage_max_kV,state_arm_voltage_min_kV,state_arm_voltage_max_kV,arm_reference_min_kV,arm_reference_max_kV,nlm_error_max_V,count_sum_mean,count_sum_expected,count_sum_rms_error,negative_count_max,negative_state_samples,has_nan
HB_4kV,HB,4000,4,4,4.13921857980435,3714.3255352098,3.7143255352098,-7.141861619755,2.63344437879574,5.24075363244083,1,0.999402729951301,1.00297875976469,0.997254942353657,-0.274505764634318,0.98313173402673,1.02294971105131,37.1769204067283,22.9497110513055,5.66313453857811,-74.650060116581,-7.4650060116581,213.834207683775,57.4903443162843,48.3894115123393,145.168237037294,1.45168237037294,1.48339902568975,-0.0639540580358276,0.0176649883531798,2.18482058913915,1.00382939568887,-0.0162161403305718,10.2220876708839,0,9.18735183900021,0.862523905047686,8.96745429283477,508.243942494307,9.9156094410766,10,0.313272564394184,0,0,0
HB_5kV,HB,5000,5,5,5.02133955454841,4641.93657093915,4.64193657093915,-7.16126858121694,3.28794378627436,4.15195476007205,1,0.999023973480716,1.00483059056799,0.99553556351963,-0.446443648036961,0.981224024353866,1.0287873767969,42.9640706419889,28.7873767969049,5.96918471685331,-120.595962353683,-12.0595962353683,280.373771315608,86.4912580049111,75.4433326530986,226.330000459304,2.26330000459303,2.31685963568585,-0.104070573243086,0.030020443682998,2.36643975540688,0.905337269725207,0.0221366142615489,10.2748677866753,0,10.2586939525542,0,9.9622585797863,508.975767315742,9.88146574172448,10,0.360254847565535,0,0,0
HB_7kV,HB,7000,7,5,5.60865860033021,5323.19033401583,5.32319033401583,-23.9544237997739,3.76943362779353,3.46135315342402,1,1.00588507290898,1.00033780692795,1.0064222234243,0.642222342430375,0.988494674275487,1.03462927296651,45.4831973259771,34.6292729665115,5.983217376065,74.0749099519123,7.40749099519123,335.397753612829,132.963471698719,106.192443785799,318.577333857176,3.18577333857176,3.04692047763109,0.0677083484916744,0.0441998875086906,4.35852919162542,0.845779723688203,0.0205302455714536,10.3380989020551,0,10.3229282815613,0,10,515.72830505397,9.78751328041997,10,0.460962818001654,0,0,0
FB_4kV,FB,4000,4,4,5.25407768353096,3828.69953363686,3.82869953363686,-4.28251165907847,2.7177192798654,4.07680450885611,1.5,1.50535479859702,1.5098262709224,1.50054517911545,0.0363452743631872,1.48298715243506,1.5329520335594,43.5485065971789,32.9520335594048,8.60839657343445,-122.59279376414,-8.17285291760931,233.493848064512,75.3815455415296,50.7796105870061,152.338834261299,1.52338834261299,1.57630074762454,-0.104400248871089,0.0189830285252473,3.47333660967861,2.13371826638339,-0.0405881350465157,15.3293594202138,0,9.18373324503519,0.700260519779654,9.3574114465204,762.294509774258,6.5858175530696,6.66666666666667,0.499171239911296,0,0,0
FB_5kV,FB,5000,5,5,5.89952289929199,4798.68791980514,4.79868791980514,-4.02624160389714,3.40351944523715,3.08701619339894,1.5,1.5077740198763,1.51608450636283,1.49713854468344,-0.190763687770656,1.48324688467143,1.53856373916002,52.3434696091042,38.5637391600189,9.01956638415845,-246.923170063235,-16.4615446708824,315.046168733755,111.004518430735,77.995437053893,233.986313662103,2.33986313662103,2.47615219982492,-0.212058009231456,0.0322540334506535,5.82465961666064,1.85972042107333,-1.45407794683337,15.3808600236411,-1.50529827041382,10.760532906446,-0.768765928131607,10.0999771285436,764.999005025697,6.56538133033352,6.66666666666667,0.508822646298622,1,509,0
FB_7kV,FB,7000,7,7,7.86100972625778,6771.23738678167,6.77123738678167,-3.26803733169047,4.79477943427843,2.34707843161327,1.5,1.51025007754717,1.52216835643913,1.4987816180414,-0.0812254639064122,1.46896438563902,1.55410616667634,78.7990856820111,54.1061666763353,9.68549237937714,-306.202618568288,-20.4135079045525,458.705290265431,188.732626223862,160.966543444716,482.899632833902,4.82899632833903,4.93025242633322,-0.262827181794545,0.0804427376989688,2.09683526574602,1.68002501110387,-2.98383279750753,15.551647437644,-3.04486216842349,12.4225592027433,-2.46845893451763,12.6263112841025,771.707718932652,6.44663875174468,6.66666666666667,0.54365877214439,2,27344,0
